Input,Output
18.812500,'41968000
18.875000,'41970000
18.937500,'41978000
19.000000,'41980000
19.062500,'41988000
19.125000,'41990000
19.187500,'41998000
19.250000,'419a0000
19.312500,'419a8000
19.375000,'419b0000
19.437500,'419b8000
19.500000,'419c0000
19.562500,'419c8000
19.625000,'419d0000
19.687500,'419d8000
19.750000,'419e0000
19.812500,'419e8000
19.875000,'419f0000
19.937500,'419f8000
20.000000,'41a00000
20.062500,'41a08000
20.125000,'41a10000
20.187500,'41a18000
20.250000,'41a20000
20.312500,'41a28000
20.375000,'41a30000
20.437500,'41a38000
20.500000,'41a40000
20.562500,'41a48000
20.625000,'41a50000
20.687500,'41a58000
20.750000,'41a60000
20.812500,'41a68000
20.875000,'41a70000
20.937500,'41a78000
21.000000,'41a80000
21.062500,'41a88000
21.125000,'41a90000
21.187500,'41a98000
21.250000,'41aa0000
21.312500,'41aa8000
21.375000,'41ab0000
21.437500,'41ab8000
21.500000,'41ac0000
21.562500,'41ac8000
21.625000,'41ad0000
21.687500,'41ad8000
21.750000,'41ae0000
21.812500,'41ae8000
21.875000,'41af0000
21.937500,'41af8000
22.000000,'41b00000
22.062500,'41b08000
22.125000,'41b10000
22.187500,'41b18000
22.250000,'41b20000
22.312500,'41b28000
22.375000,'41b30000
22.437500,'41b38000
22.500000,'41b40000
22.562500,'41b48000
22.625000,'41b50000
22.687500,'41b58000
22.750000,'41b60000
22.812500,'41b68000
22.875000,'41b70000
22.937500,'41b78000
23.000000,'41b80000
23.062500,'41b88000
23.125000,'41b90000
23.187500,'41b98000
23.250000,'41ba0000
23.312500,'41ba8000
23.375000,'41bb0000
23.437500,'41bb8000
23.500000,'41bc0000
23.562500,'41bc8000
23.625000,'41bd0000
23.687500,'41bd8000
23.750000,'41be0000
23.812500,'41be8000
23.875000,'41bf0000
23.937500,'41bf8000
24.000000,'41c00000
24.062500,'41c08000
24.125000,'41c10000
24.187500,'41c18000
24.250000,'41c20000
24.312500,'41c28000
24.375000,'41c30000
24.437500,'41c38000
24.500000,'41c40000
24.562500,'41c48000
24.625000,'41c50000
24.687500,'41c58000
24.750000,'41c60000
24.812500,'41c68000
24.875000,'41c70000
24.937500,'41c78000
25.000000,'41c80000
25.062500,'41c88000
25.125000,'41c90000
25.187500,'41c98000
25.250000,'41ca0000
25.312500,'41ca8000
25.375000,'41cb0000
25.437500,'41cb8000
25.500000,'41cc0000
25.562500,'41cc8000
25.625000,'41cd0000
25.687500,'41cd8000
25.750000,'41ce0000
25.812500,'41ce8000
25.875000,'41cf0000
25.937500,'41cf8000
26.000000,'41d00000
26.062500,'41d08000
26.125000,'41d10000
26.187500,'41d18000
26.250000,'41d20000
26.312500,'41d28000
26.375000,'41d30000
26.437500,'41d38000
26.500000,'41d40000
26.562500,'41d48000
26.625000,'41d50000
26.687500,'41d58000
26.750000,'41d60000
26.812500,'41d68000
26.875000,'41d70000
26.937500,'41d78000
27.000000,'41d80000
27.062500,'41d88000
27.125000,'41d90000
27.187500,'41d98000
27.250000,'41da0000
27.312500,'41da8000
27.375000,'41db0000
27.437500,'41db8000
27.500000,'41dc0000
27.562500,'41dc8000
27.625000,'41dd0000
27.687500,'41dd8000
27.750000,'41de0000
27.812500,'41de8000
27.875000,'41df0000
27.937500,'41df8000
28.000000,'41e00000
28.062500,'41e08000
28.125000,'41e10000
28.187500,'41e18000
28.250000,'41e20000
28.312500,'41e28000
28.375000,'41e30000
28.437500,'41e38000
28.500000,'41e40000
28.562500,'41e48000
28.625000,'41e50000
28.687500,'41e58000
28.750000,'41e60000
28.812500,'41e68000
28.875000,'41e70000
28.937500,'41e78000
29.000000,'41e80000
29.062500,'41e88000
29.125000,'41e90000
29.187500,'41e98000
29.250000,'41ea0000
29.312500,'41ea8000
29.375000,'41eb0000
29.437500,'41eb8000
29.500000,'41ec0000
29.562500,'41ec8000
29.625000,'41ed0000
29.687500,'41ed8000
29.750000,'41ee0000
29.812500,'41ee8000
29.875000,'41ef0000
29.937500,'41ef8000
30.000000,'41f00000
30.062500,'41f08000
30.125000,'41f10000
30.187500,'41f18000
30.250000,'41f20000
30.312500,'41f28000
30.375000,'41f30000
30.437500,'41f38000
30.500000,'41f40000
30.562500,'41f48000
30.625000,'41f50000
30.687500,'41f58000
30.750000,'41f60000
30.812500,'41f68000
30.875000,'41f70000
30.937500,'41f78000
31.000000,'41f80000
31.062500,'41f88000
31.125000,'41f90000
31.187500,'41f98000
31.250000,'41fa0000
31.312500,'41fa8000
31.375000,'41fb0000
31.437500,'41fb8000
31.500000,'41fc0000
31.562500,'41fc8000
31.625000,'41fd0000
31.687500,'41fd8000
31.750000,'41fe0000
31.812500,'41fe8000
31.875000,'41ff0000
31.937500,'41ff8000
32.000000,'42000000
32.062500,'42004000
32.125000,'42008000
32.187500,'4200c000
32.250000,'42010000
32.312500,'42014000
32.375000,'42018000
32.437500,'4201c000
32.500000,'42020000
32.562500,'42024000
32.625000,'42028000
32.687500,'4202c000
32.750000,'42030000
32.812500,'42034000
32.875000,'42038000
32.937500,'4203c000
33.000000,'42040000
33.062500,'42044000
33.125000,'42048000
33.187500,'4204c000
33.250000,'42050000
33.312500,'42054000
33.375000,'42058000
33.437500,'4205c000
33.500000,'42060000
33.562500,'42064000
33.625000,'42068000
33.687500,'4206c000
33.750000,'42070000
33.812500,'42074000
33.875000,'42078000
33.937500,'4207c000
34.000000,'42080000
34.062500,'42084000
34.125000,'42088000
34.187500,'4208c000
34.250000,'42090000
34.312500,'42094000
34.375000,'42098000
34.437500,'4209c000
34.500000,'420a0000
34.562500,'420a4000
34.625000,'420a8000
34.687500,'420ac000
34.750000,'420b0000
34.812500,'420b4000
34.875000,'420b8000
34.937500,'420bc000
35.000000,'420c0000
35.062500,'420c4000
35.125000,'420c8000
35.187500,'420cc000
35.250000,'420d0000
35.312500,'420d4000
35.375000,'420d8000
35.437500,'420dc000
35.500000,'420e0000
35.562500,'420e4000
35.625000,'420e8000
35.687500,'420ec000
35.750000,'420f0000
35.812500,'420f4000
35.875000,'420f8000
35.937500,'420fc000
36.000000,'42100000
36.062500,'42104000
36.125000,'42108000
36.187500,'4210c000
36.250000,'42110000
36.312500,'42114000
36.375000,'42118000
36.437500,'4211c000
36.500000,'42120000
36.562500,'42124000
36.625000,'42128000
36.687500,'4212c000
36.750000,'42130000
36.812500,'42134000
36.875000,'42138000
36.937500,'4213c000
37.000000,'42140000
37.062500,'42144000
37.125000,'42148000
37.187500,'4214c000
37.250000,'42150000
37.312500,'42154000
37.375000,'42158000
37.437500,'4215c000
37.500000,'42160000
37.562500,'42164000
37.625000,'42168000
37.687500,'4216c000
37.750000,'42170000
37.812500,'42174000
37.875000,'42178000
37.937500,'4217c000
38.000000,'42180000
38.062500,'42184000
38.125000,'42188000
38.187500,'4218c000
38.250000,'42190000
38.312500,'42194000
38.375000,'42198000
38.437500,'4219c000
38.500000,'421a0000
38.562500,'421a4000
38.625000,'421a8000
38.687500,'421ac000
38.750000,'421b0000
38.812500,'421b4000
38.875000,'421b8000
38.937500,'421bc000
39.000000,'421c0000
39.062500,'421c4000
39.125000,'421c8000
39.187500,'421cc000
39.250000,'421d0000
39.312500,'421d4000
39.375000,'421d8000
39.437500,'421dc000
39.500000,'421e0000
39.562500,'421e4000
39.625000,'421e8000
39.687500,'421ec000
39.750000,'421f0000
39.812500,'421f4000
39.875000,'421f8000
39.937500,'421fc000
40.000000,'42200000
40.062500,'42204000
40.125000,'42208000
40.187500,'4220c000
40.250000,'42210000
40.312500,'42214000
40.375000,'42218000
40.437500,'4221c000
40.500000,'42220000
40.562500,'42224000
40.625000,'42228000
40.687500,'4222c000
40.750000,'42230000
40.812500,'42234000
40.875000,'42238000
40.937500,'4223c000
41.000000,'42240000
41.062500,'42244000
41.125000,'42248000
41.187500,'4224c000
41.250000,'42250000
41.312500,'42254000
41.375000,'42258000
41.437500,'4225c000
41.500000,'42260000
41.562500,'42264000
41.625000,'42268000
41.687500,'4226c000
41.750000,'42270000
41.812500,'42274000
41.875000,'42278000
41.937500,'4227c000
42.000000,'42280000
42.062500,'42284000
42.125000,'42288000
42.187500,'4228c000
42.250000,'42290000
42.312500,'42294000
42.375000,'42298000
42.437500,'4229c000
42.500000,'422a0000
42.562500,'422a4000
42.625000,'422a8000
42.687500,'422ac000
42.750000,'422b0000
42.812500,'422b4000
42.875000,'422b8000
42.937500,'422bc000
43.000000,'422c0000
43.062500,'422c4000
43.125000,'422c8000
43.187500,'422cc000
43.250000,'422d0000
43.312500,'422d4000
43.375000,'422d8000
43.437500,'422dc000
43.500000,'422e0000
43.562500,'422e4000
43.625000,'422e8000
43.687500,'422ec000
43.750000,'422f0000
43.812500,'422f4000
43.875000,'422f8000
43.937500,'422fc000
44.000000,'42300000
44.062500,'42304000
44.125000,'42308000
44.187500,'4230c000
44.250000,'42310000
44.312500,'42314000
44.375000,'42318000
44.437500,'4231c000
44.500000,'42320000
44.562500,'42324000
44.625000,'42328000
44.687500,'4232c000
44.750000,'42330000
44.812500,'42334000
44.875000,'42338000
44.937500,'4233c000
45.000000,'42340000
45.062500,'42344000
45.125000,'42348000
45.187500,'4234c000
45.250000,'42350000
45.312500,'42354000
45.375000,'42358000
45.437500,'4235c000
45.500000,'42360000
45.562500,'42364000
45.625000,'42368000
45.687500,'4236c000
45.750000,'42370000
45.812500,'42374000
45.875000,'42378000
45.937500,'4237c000
46.000000,'42380000
46.062500,'42384000
46.125000,'42388000
46.187500,'4238c000
46.250000,'42390000
46.312500,'42394000
46.375000,'42398000
46.437500,'4239c000
46.500000,'423a0000
46.562500,'423a4000
46.625000,'423a8000
46.687500,'423ac000
46.750000,'423b0000
46.812500,'423b4000
46.875000,'423b8000
46.937500,'423bc000
47.000000,'423c0000
47.062500,'423c4000
47.125000,'423c8000
47.187500,'423cc000
47.250000,'423d0000
47.312500,'423d4000
47.375000,'423d8000
47.437500,'423dc000
47.500000,'423e0000
47.562500,'423e4000
47.625000,'423e8000
47.687500,'423ec000
47.750000,'423f0000
47.812500,'423f4000
47.875000,'423f8000
47.937500,'423fc000
48.000000,'42400000
48.062500,'42404000
48.125000,'42408000
48.187500,'4240c000
48.250000,'42410000
48.312500,'42414000
48.375000,'42418000
