Input,Constant,Output
11.937500,5f3403e0,0.289428
12.000000,5f34266c,0.288673
12.062500,5f3449c3,0.287924
12.125000,5f346de0,0.287180
12.187500,5f3492be,0.286443
12.250000,5f34b857,0.285711
12.312500,5f34dea5,0.284984
12.375000,5f3505a4,0.284263
12.437500,5f352d4d,0.283547
12.500000,5f35559b,0.282837
12.562500,5f357e89,0.282132
12.625000,5f35a812,0.281433
12.687500,5f35d230,0.280738
12.750000,5f35fcde,0.280049
12.812500,5f362817,0.279364
12.875000,5f3653d6,0.278685
12.937500,5f368015,0.278010
13.000000,5f36acd0,0.277341
13.062500,5f36da02,0.276676
13.125000,5f3707a6,0.276016
13.187500,5f3735b6,0.275361
13.250000,5f37642e,0.274710
13.312500,5f379309,0.274064
13.375000,5f37c244,0.273422
13.437500,5f37f1d8,0.272785
13.500000,5f3821c1,0.272153
13.562500,5f3851fb,0.271524
13.625000,5f388282,0.270901
13.687500,5f38b350,0.270281
13.750000,5f38e462,0.269666
13.812500,5f3915b4,0.269055
13.875000,5f394740,0.268448
13.937500,5f397904,0.267845
14.000000,5f39aafa,0.267246
14.062500,5f39dd1f,0.266652
14.125000,5f3a0f6f,0.266061
14.187500,5f3a41e6,0.265475
14.250000,5f3a7480,0.264892
14.312500,5f3aa73a,0.264313
14.375000,5f3ada0f,0.263738
14.437500,5f3b0cfc,0.263167
14.500000,5f3b3ffe,0.262599
14.562500,5f3b7311,0.262035
14.625000,5f3ba631,0.261475
14.687500,5f3bd95b,0.260919
14.750000,5f3c0c8c,0.260366
14.812500,5f3c3fc0,0.259817
14.875000,5f3c72f5,0.259271
14.937500,5f3ca627,0.258728
15.000000,5f3cd952,0.258189
15.062500,5f3d0c75,0.257654
15.125000,5f3d3f8c,0.257122
15.187500,5f3d7294,0.256593
15.250000,5f3da58b,0.256067
15.312500,5f3dd86d,0.255545
15.375000,5f3e0b38,0.255026
15.437500,5f3e3de9,0.254510
15.500000,5f3e707e,0.253997
15.562500,5f3ea2f3,0.253487
15.625000,5f3ed548,0.252980
